time,voc_message
1765289728441019287,Temp: 30.54 °C  Hum: 63.39%  VOC: 25.12 kΩ
1765289729809845267,Temp: 30.54 °C  Hum: 63.40%  VOC: 24.52 kΩ
1765289731179318633,Temp: 30.55 °C  Hum: 63.36%  VOC: 24.23 kΩ
1765289732548228539,Temp: 30.55 °C  Hum: 63.38%  VOC: 24.26 kΩ
1765289733917159240,Temp: 30.55 °C  Hum: 63.38%  VOC: 24.81 kΩ
1765289735286224719,Temp: 30.55 °C  Hum: 63.38%  VOC: 25.49 kΩ
1765289736655000569,Temp: 30.55 °C  Hum: 63.36%  VOC: 25.76 kΩ
1765289738024299659,Temp: 30.55 °C  Hum: 63.36%  VOC: 26.15 kΩ
1765289739393253842,Temp: 30.55 °C  Hum: 63.35%  VOC: 26.79 kΩ
1765289740762311913,Temp: 30.55 °C  Hum: 63.34%  VOC: 27.00 kΩ
1765289742131330596,Temp: 30.55 °C  Hum: 63.34%  VOC: 27.21 kΩ
1765289743500077002,Temp: 30.56 °C  Hum: 63.34%  VOC: 27.35 kΩ
1765289744869363072,Temp: 30.56 °C  Hum: 63.33%  VOC: 27.50 kΩ
1765289746238140774,Temp: 30.56 °C  Hum: 63.32%  VOC: 28.81 kΩ
1765289747608609211,Temp: 30.56 °C  Hum: 63.32%  VOC: 30.91 kΩ
1765289748976577601,Temp: 30.56 °C  Hum: 63.29%  VOC: 36.62 kΩ
1765289750345424637,Temp: 30.56 °C  Hum: 63.27%  VOC: 38.99 kΩ
1765289751714098561,Temp: 30.56 °C  Hum: 63.26%  VOC: 38.81 kΩ
1765289753083197373,Temp: 30.56 °C  Hum: 63.23%  VOC: 37.89 kΩ
1765289754452302148,Temp: 30.56 °C  Hum: 63.23%  VOC: 36.59 kΩ
1765289755821432905,Temp: 30.56 °C  Hum: 63.22%  VOC: 40.55 kΩ
1765289757190663216,Temp: 30.56 °C  Hum: 63.18%  VOC: 41.85 kΩ
1765289758559544548,Temp: 30.56 °C  Hum: 63.17%  VOC: 40.20 kΩ
1765289759939314934,Temp: 30.56 °C  Hum: 63.17%  VOC: 39.89 kΩ
1765289761297087822,Temp: 30.56 °C  Hum: 63.18%  VOC: 39.25 kΩ
1765289762666524152,Temp: 30.57 °C  Hum: 63.17%  VOC: 38.99 kΩ
1765289764035524279,Temp: 30.57 °C  Hum: 63.18%  VOC: 41.23 kΩ
1765289765404489573,Temp: 30.57 °C  Hum: 63.18%  VOC: 41.40 kΩ
1765289766773755033,Temp: 30.57 °C  Hum: 63.18%  VOC: 41.65 kΩ
1765289768144628357,Temp: 30.57 °C  Hum: 63.17%  VOC: 45.03 kΩ
1765289769511631103,Temp: 30.57 °C  Hum: 63.18%  VOC: 46.80 kΩ
1765289770880481119,Temp: 30.57 °C  Hum: 63.17%  VOC: 46.28 kΩ
1765289772249645598,Temp: 30.57 °C  Hum: 63.17%  VOC: 45.87 kΩ
1765289773618802595,Temp: 30.57 °C  Hum: 63.17%  VOC: 45.42 kΩ
