time,voc_message
1765288692095668397,Temp: 30.46 °C  Hum: 62.99%  VOC: 46.33 kΩ
1765288693465078967,Temp: 30.47 °C  Hum: 63.00%  VOC: 46.23 kΩ
1765288694834816647,Temp: 30.47 °C  Hum: 62.99%  VOC: 43.66 kΩ
1765288696202523057,Temp: 30.47 °C  Hum: 62.99%  VOC: 41.23 kΩ
1765288697571499739,Temp: 30.47 °C  Hum: 62.98%  VOC: 39.74 kΩ
1765288698940646274,Temp: 30.47 °C  Hum: 62.99%  VOC: 38.63 kΩ
1765288700309754363,Temp: 30.47 °C  Hum: 62.99%  VOC: 38.74 kΩ
1765288701679048508,Temp: 30.47 °C  Hum: 62.99%  VOC: 39.62 kΩ
1765288703047916673,Temp: 30.47 °C  Hum: 62.98%  VOC: 40.12 kΩ
1765288704417124614,Temp: 30.47 °C  Hum: 63.00%  VOC: 40.47 kΩ
1765288705785850798,Temp: 30.47 °C  Hum: 62.99%  VOC: 40.95 kΩ
1765288707154789703,Temp: 30.48 °C  Hum: 62.98%  VOC: 41.94 kΩ
1765288708523931385,Temp: 30.48 °C  Hum: 62.98%  VOC: 43.38 kΩ
1765288709892951513,Temp: 30.48 °C  Hum: 63.00%  VOC: 44.45 kΩ
1765288711262066528,Temp: 30.48 °C  Hum: 62.99%  VOC: 45.27 kΩ
1765288712630878230,Temp: 30.48 °C  Hum: 62.99%  VOC: 46.38 kΩ
1765288714000168320,Temp: 30.48 °C  Hum: 63.00%  VOC: 47.49 kΩ
1765288715368938559,Temp: 30.48 °C  Hum: 62.99%  VOC: 49.12 kΩ
1765288716738047926,Temp: 30.48 °C  Hum: 62.99%  VOC: 50.61 kΩ
1765288718107000220,Temp: 30.48 °C  Hum: 62.99%  VOC: 52.93 kΩ
1765288719476299347,Temp: 30.48 °C  Hum: 62.99%  VOC: 54.85 kΩ
1765288720844633939,Temp: 30.49 °C  Hum: 62.99%  VOC: 56.38 kΩ
1765288722215401949,Temp: 30.49 °C  Hum: 62.98%  VOC: 57.39 kΩ
1765288723582976470,Temp: 30.49 °C  Hum: 62.99%  VOC: 58.03 kΩ
1765288724952058634,Temp: 30.49 °C  Hum: 62.98%  VOC: 58.40 kΩ
1765288726321381945,Temp: 30.49 °C  Hum: 62.98%  VOC: 58.77 kΩ
1765288727690278721,Temp: 30.49 °C  Hum: 62.99%  VOC: 60.13 kΩ
1765288729059345385,Temp: 30.49 °C  Hum: 62.99%  VOC: 60.88 kΩ
1765288730428334661,Temp: 30.49 °C  Hum: 62.99%  VOC: 60.93 kΩ
1765288731797072789,Temp: 30.49 °C  Hum: 62.99%  VOC: 60.75 kΩ
1765288733166321897,Temp: 30.49 °C  Hum: 62.99%  VOC: 60.22 kΩ
1765288734535170580,Temp: 30.49 °C  Hum: 63.00%  VOC: 60.05 kΩ
1765288735904339892,Temp: 30.50 °C  Hum: 62.99%  VOC: 59.62 kΩ
1765288737272992113,Temp: 30.50 °C  Hum: 62.99%  VOC: 59.23 kΩ
1765288738642448757,Temp: 30.50 °C  Hum: 62.99%  VOC: 59.36 kΩ
