time,voc_message
1765294766421756100,Temp: 30.99 °C  Hum: 63.55%  VOC: 29.76 kΩ
1765294767790677140,Temp: 30.99 °C  Hum: 63.55%  VOC: 30.19 kΩ
1765294769159571531,Temp: 31.00 °C  Hum: 63.57%  VOC: 30.28 kΩ
1765294770528617107,Temp: 31.00 °C  Hum: 63.56%  VOC: 30.80 kΩ
1765294771899411122,Temp: 31.00 °C  Hum: 63.56%  VOC: 30.98 kΩ
1765294773266791445,Temp: 31.00 °C  Hum: 63.56%  VOC: 31.26 kΩ
1765294774636028668,Temp: 31.00 °C  Hum: 63.56%  VOC: 31.35 kΩ
1765294776005223688,Temp: 31.00 °C  Hum: 63.55%  VOC: 31.21 kΩ
1765294777373493693,Temp: 31.01 °C  Hum: 63.55%  VOC: 31.02 kΩ
1765294778742550991,Temp: 31.01 °C  Hum: 63.55%  VOC: 30.95 kΩ
1765294780111718067,Temp: 31.01 °C  Hum: 63.56%  VOC: 30.77 kΩ
1765294781480841291,Temp: 31.01 °C  Hum: 63.54%  VOC: 31.12 kΩ
1765294782850095459,Temp: 31.01 °C  Hum: 63.54%  VOC: 31.69 kΩ
1765294784219403905,Temp: 31.02 °C  Hum: 63.54%  VOC: 31.98 kΩ
1765294785587684132,Temp: 31.02 °C  Hum: 63.54%  VOC: 32.13 kΩ
1765294786957145577,Temp: 31.02 °C  Hum: 63.55%  VOC: 33.74 kΩ
1765294788329276309,Temp: 31.02 °C  Hum: 63.53%  VOC: 34.21 kΩ
1765294789694756360,Temp: 31.02 °C  Hum: 63.54%  VOC: 33.93 kΩ
1765294791063981973,Temp: 31.02 °C  Hum: 63.52%  VOC: 33.44 kΩ
1765294792433070030,Temp: 31.02 °C  Hum: 63.53%  VOC: 32.76 kΩ
1765294793804098470,Temp: 31.03 °C  Hum: 63.53%  VOC: 32.43 kΩ
1765294795170900610,Temp: 31.03 °C  Hum: 63.52%  VOC: 32.28 kΩ
1765294796541427588,Temp: 31.03 °C  Hum: 63.52%  VOC: 32.38 kΩ
1765294797909246020,Temp: 31.03 °C  Hum: 63.52%  VOC: 34.73 kΩ
1765294799278191930,Temp: 31.03 °C  Hum: 63.49%  VOC: 36.15 kΩ
1765294800647468117,Temp: 31.03 °C  Hum: 63.49%  VOC: 37.11 kΩ
1765294802016149120,Temp: 31.04 °C  Hum: 63.47%  VOC: 37.92 kΩ
1765294803385260029,Temp: 31.04 °C  Hum: 63.45%  VOC: 38.17 kΩ
1765294804753938551,Temp: 31.04 °C  Hum: 63.45%  VOC: 38.13 kΩ
1765294806123056275,Temp: 31.04 °C  Hum: 63.43%  VOC: 37.99 kΩ
1765294807492318184,Temp: 31.04 °C  Hum: 63.45%  VOC: 37.72 kΩ
1765294808862310072,Temp: 31.04 °C  Hum: 63.44%  VOC: 37.65 kΩ
1765294810229967893,Temp: 31.05 °C  Hum: 63.43%  VOC: 37.92 kΩ
1765294811599178080,Temp: 31.05 °C  Hum: 63.41%  VOC: 38.06 kΩ
1765294812968821487,Temp: 31.05 °C  Hum: 63.42%  VOC: 38.77 kΩ
1765294814337146288,Temp: 31.05 °C  Hum: 63.41%  VOC: 39.21 kΩ
1765294815706416475,Temp: 31.05 °C  Hum: 63.40%  VOC: 39.59 kΩ
1765294817075315200,Temp: 31.05 °C  Hum: 63.37%  VOC: 40.43 kΩ
1765294818444836182,Temp: 31.06 °C  Hum: 63.38%  VOC: 40.63 kΩ
1765294819813168834,Temp: 31.06 °C  Hum: 63.36%  VOC: 41.19 kΩ
1765294821183674146,Temp: 31.06 °C  Hum: 63.35%  VOC: 41.65 kΩ
1765294822554753678,Temp: 31.06 °C  Hum: 63.35%  VOC: 41.94 kΩ
1765294823922508722,Temp: 31.06 °C  Hum: 63.36%  VOC: 41.85 kΩ
1765294825289715823,Temp: 31.06 °C  Hum: 63.35%  VOC: 42.32 kΩ
1765294826658031309,Temp: 31.07 °C  Hum: 63.35%  VOC: 42.58 kΩ
1765294828027509143,Temp: 31.07 °C  Hum: 63.35%  VOC: 43.38 kΩ
1765294829396400682,Temp: 31.07 °C  Hum: 63.33%  VOC: 44.26 kΩ
1765294830765617202,Temp: 31.07 °C  Hum: 63.31%  VOC: 44.88 kΩ
1765294832134468187,Temp: 31.07 °C  Hum: 63.29%  VOC: 46.12 kΩ
1765294833503593577,Temp: 31.07 °C  Hum: 63.27%  VOC: 46.80 kΩ
1765294834872570135,Temp: 31.07 °C  Hum: 63.25%  VOC: 47.27 kΩ
1765294836242281691,Temp: 31.08 °C  Hum: 63.24%  VOC: 47.79 kΩ
1765294837610372826,Temp: 31.08 °C  Hum: 63.23%  VOC: 48.52 kΩ
1765294838979597846,Temp: 31.08 °C  Hum: 63.21%  VOC: 48.94 kΩ
1765294840348432256,Temp: 31.08 °C  Hum: 63.20%  VOC: 49.23 kΩ
1765294841717632980,Temp: 31.09 °C  Hum: 63.18%  VOC: 49.67 kΩ
1765294843086814240,Temp: 31.09 °C  Hum: 63.18%  VOC: 50.37 kΩ
