time,voc_message
1765291562924206425,Temp: 30.38 °C  Hum: 62.94%  VOC: 21.53 kΩ
1765291564293356298,Temp: 30.38 °C  Hum: 62.94%  VOC: 21.62 kΩ
1765291565661213935,Temp: 30.38 °C  Hum: 62.96%  VOC: 21.83 kΩ
1765291567031778544,Temp: 30.38 °C  Hum: 62.94%  VOC: 22.04 kΩ
1765291568399355515,Temp: 30.38 °C  Hum: 62.94%  VOC: 22.25 kΩ
1765291569769446496,Temp: 30.38 °C  Hum: 62.93%  VOC: 22.27 kΩ
1765291571138401018,Temp: 30.38 °C  Hum: 62.92%  VOC: 22.08 kΩ
1765291572506416413,Temp: 30.38 °C  Hum: 62.92%  VOC: 22.18 kΩ
1765291573875420491,Temp: 30.38 °C  Hum: 62.92%  VOC: 22.08 kΩ
1765291575244565438,Temp: 30.38 °C  Hum: 62.90%  VOC: 21.81 kΩ
1765291576613356349,Temp: 30.38 °C  Hum: 62.90%  VOC: 21.38 kΩ
1765291577982388093,Temp: 30.39 °C  Hum: 62.90%  VOC: 20.93 kΩ
1765291579351254911,Temp: 30.39 °C  Hum: 62.91%  VOC: 20.68 kΩ
1765291580720848061,Temp: 30.39 °C  Hum: 62.92%  VOC: 20.23 kΩ
1765291582089600361,Temp: 30.39 °C  Hum: 62.92%  VOC: 19.98 kΩ
1765291583458656827,Temp: 30.39 °C  Hum: 62.93%  VOC: 20.08 kΩ
1765291584827162739,Temp: 30.39 °C  Hum: 62.93%  VOC: 20.35 kΩ
1765291586196445649,Temp: 30.39 °C  Hum: 62.93%  VOC: 20.51 kΩ
1765291587565900818,Temp: 30.39 °C  Hum: 62.91%  VOC: 20.41 kΩ
1765291588934448804,Temp: 30.40 °C  Hum: 62.91%  VOC: 20.47 kΩ
1765291590303691640,Temp: 30.40 °C  Hum: 62.90%  VOC: 20.47 kΩ
1765291591673467862,Temp: 30.40 °C  Hum: 62.89%  VOC: 20.76 kΩ
1765291593042950290,Temp: 30.40 °C  Hum: 62.87%  VOC: 21.03 kΩ
1765291594410429965,Temp: 30.40 °C  Hum: 62.86%  VOC: 21.18 kΩ
1765291595779524449,Temp: 30.40 °C  Hum: 62.84%  VOC: 21.16 kΩ
1765291597148504730,Temp: 30.40 °C  Hum: 62.85%  VOC: 20.97 kΩ
1765291598517638141,Temp: 30.40 °C  Hum: 62.84%  VOC: 20.80 kΩ
1765291599886941217,Temp: 30.40 °C  Hum: 62.86%  VOC: 20.43 kΩ
1765291601255453037,Temp: 30.40 °C  Hum: 62.85%  VOC: 20.17 kΩ
1765291602625242408,Temp: 30.41 °C  Hum: 62.87%  VOC: 20.04 kΩ
1765291603993923393,Temp: 30.41 °C  Hum: 62.88%  VOC: 20.06 kΩ
1765291605362797545,Temp: 30.41 °C  Hum: 62.88%  VOC: 19.96 kΩ
1765291606731692160,Temp: 30.41 °C  Hum: 62.89%  VOC: 19.77 kΩ
1765291608100747144,Temp: 30.41 °C  Hum: 62.91%  VOC: 19.79 kΩ
1765291609469576315,Temp: 30.41 °C  Hum: 62.91%  VOC: 19.98 kΩ
1765291610840130943,Temp: 30.41 °C  Hum: 62.93%  VOC: 20.27 kΩ
1765291612207766747,Temp: 30.41 °C  Hum: 62.94%  VOC: 20.80 kΩ
1765291613576712417,Temp: 30.41 °C  Hum: 62.93%  VOC: 21.56 kΩ
1765291614945947345,Temp: 30.41 °C  Hum: 62.93%  VOC: 22.04 kΩ
1765291616314922311,Temp: 30.42 °C  Hum: 62.93%  VOC: 22.11 kΩ
1765291617684064148,Temp: 30.42 °C  Hum: 62.92%  VOC: 22.11 kΩ
1765291619052739041,Temp: 30.42 °C  Hum: 62.93%  VOC: 21.99 kΩ
1765291620421687544,Temp: 30.42 °C  Hum: 62.93%  VOC: 22.04 kΩ
1765291621790914473,Temp: 30.42 °C  Hum: 62.92%  VOC: 21.97 kΩ
1765291623161490693,Temp: 30.42 °C  Hum: 62.93%  VOC: 21.71 kΩ
1765291624529015979,Temp: 30.42 °C  Hum: 62.94%  VOC: 21.38 kΩ
1765291625898069241,Temp: 30.42 °C  Hum: 62.95%  VOC: 21.01 kΩ
1765291627267303429,Temp: 30.43 °C  Hum: 62.96%  VOC: 20.76 kΩ
1765291628635808452,Temp: 30.43 °C  Hum: 62.95%  VOC: 20.72 kΩ
1765291630004909751,Temp: 30.43 °C  Hum: 62.96%  VOC: 20.59 kΩ
1765291631374197216,Temp: 30.43 °C  Hum: 62.96%  VOC: 20.72 kΩ
1765291632743345404,Temp: 30.43 °C  Hum: 62.98%  VOC: 20.89 kΩ
1765291634112020946,Temp: 30.43 °C  Hum: 62.97%  VOC: 21.25 kΩ
1765291635481026505,Temp: 30.43 °C  Hum: 62.97%  VOC: 21.71 kΩ
1765291636849827194,Temp: 30.44 °C  Hum: 62.95%  VOC: 21.85 kΩ
1765291638218920419,Temp: 30.44 °C  Hum: 62.96%  VOC: 21.78 kΩ
1765291639588169125,Temp: 30.44 °C  Hum: 62.95%  VOC: 21.62 kΩ
1765291640957147573,Temp: 30.44 °C  Hum: 62.96%  VOC: 21.49 kΩ
1765291642326285038,Temp: 30.44 °C  Hum: 62.96%  VOC: 21.38 kΩ
1765291643694968746,Temp: 30.44 °C  Hum: 62.95%  VOC: 21.58 kΩ
1765291645064547840,Temp: 30.44 °C  Hum: 62.96%  VOC: 21.53 kΩ
1765291646433058679,Temp: 30.44 °C  Hum: 62.95%  VOC: 21.99 kΩ
1765291647802300755,Temp: 30.45 °C  Hum: 62.96%  VOC: 22.54 kΩ
1765291649173436899,Temp: 30.45 °C  Hum: 62.95%  VOC: 22.81 kΩ
1765291650540130299,Temp: 30.45 °C  Hum: 62.94%  VOC: 23.06 kΩ
1765291651908983062,Temp: 30.45 °C  Hum: 62.93%  VOC: 22.91 kΩ
1765291653278167731,Temp: 30.45 °C  Hum: 62.93%  VOC: 23.19 kΩ
1765291654648530878,Temp: 30.45 °C  Hum: 62.93%  VOC: 23.51 kΩ
1765291656018131972,Temp: 30.45 °C  Hum: 62.95%  VOC: 23.90 kΩ
1765291657385350240,Temp: 30.45 °C  Hum: 62.93%  VOC: 24.60 kΩ
1765291658754202855,Temp: 30.45 °C  Hum: 62.92%  VOC: 25.26 kΩ
1765291660123347080,Temp: 30.45 °C  Hum: 62.93%  VOC: 25.51 kΩ
1765291661492194639,Temp: 30.45 °C  Hum: 62.92%  VOC: 25.63 kΩ
1765291662861576956,Temp: 30.45 °C  Hum: 62.93%  VOC: 25.99 kΩ
1765291664230754274,Temp: 30.45 °C  Hum: 62.93%  VOC: 26.32 kΩ
1765291665599615425,Temp: 30.45 °C  Hum: 62.93%  VOC: 26.89 kΩ
1765291666968369911,Temp: 30.45 °C  Hum: 62.93%  VOC: 27.03 kΩ
1765291668337650376,Temp: 30.45 °C  Hum: 62.93%  VOC: 27.10 kΩ
1765291669706408084,Temp: 30.45 °C  Hum: 62.93%  VOC: 27.09 kΩ
1765291671076898638,Temp: 30.45 °C  Hum: 62.94%  VOC: 27.00 kΩ
1765291672444748960,Temp: 30.45 °C  Hum: 62.95%  VOC: 27.17 kΩ
1765291673813991184,Temp: 30.45 °C  Hum: 62.94%  VOC: 27.00 kΩ
1765291675182247097,Temp: 30.45 °C  Hum: 62.96%  VOC: 27.01 kΩ
1765291676552028172,Temp: 30.46 °C  Hum: 62.96%  VOC: 27.17 kΩ
1765291677920641510,Temp: 30.46 °C  Hum: 62.96%  VOC: 27.01 kΩ
1765291679289703050,Temp: 30.46 °C  Hum: 62.97%  VOC: 27.14 kΩ
1765291680658828886,Temp: 30.46 °C  Hum: 62.96%  VOC: 27.50 kΩ
1765291682027866686,Temp: 30.46 °C  Hum: 62.97%  VOC: 27.30 kΩ
1765291683396389635,Temp: 30.46 °C  Hum: 62.98%  VOC: 27.35 kΩ
1765291684765567378,Temp: 30.46 °C  Hum: 62.96%  VOC: 27.35 kΩ
1765291686135877433,Temp: 30.46 °C  Hum: 62.99%  VOC: 27.37 kΩ
