time,voc_message
1765296683043905974,Temp: 30.89 °C  Hum: 65.27%  VOC: 98.90 kΩ
1765296684412988906,Temp: 30.89 °C  Hum: 65.25%  VOC: 98.55 kΩ
1765296685781903579,Temp: 30.89 °C  Hum: 65.26%  VOC: 98.96 kΩ
1765296687150923641,Temp: 30.89 °C  Hum: 65.25%  VOC: 98.66 kΩ
1765296688519651963,Temp: 30.90 °C  Hum: 65.25%  VOC: 98.49 kΩ
1765296689888793172,Temp: 30.90 °C  Hum: 65.25%  VOC: 98.96 kΩ
1765296691257707179,Temp: 30.90 °C  Hum: 65.23%  VOC: 99.37 kΩ
1765296692627067924,Temp: 30.90 °C  Hum: 65.24%  VOC: 98.90 kΩ
1765296693995887283,Temp: 30.90 °C  Hum: 65.22%  VOC: 98.72 kΩ
1765296695365628730,Temp: 30.90 °C  Hum: 65.20%  VOC: 99.19 kΩ
1765296696733782610,Temp: 30.89 °C  Hum: 65.22%  VOC: 99.08 kΩ
1765296698102823487,Temp: 30.89 °C  Hum: 65.22%  VOC: 99.14 kΩ
1765296699471662512,Temp: 30.89 °C  Hum: 65.23%  VOC: 99.25 kΩ
1765296700840853221,Temp: 30.88 °C  Hum: 65.24%  VOC: 99.85 kΩ
1765296702209984171,Temp: 30.88 °C  Hum: 65.24%  VOC: 99.19 kΩ
1765296703578986270,Temp: 30.88 °C  Hum: 65.24%  VOC: 99.37 kΩ
1765296704947859295,Temp: 30.88 °C  Hum: 65.24%  VOC: 99.25 kΩ
1765296706317302966,Temp: 30.88 °C  Hum: 65.23%  VOC: 99.08 kΩ
1765296707686438527,Temp: 30.88 °C  Hum: 65.23%  VOC: 99.79 kΩ
1765296709055107053,Temp: 30.87 °C  Hum: 65.24%  VOC: 99.61 kΩ
1765296710424244374,Temp: 30.87 °C  Hum: 65.24%  VOC: 99.73 kΩ
1765296711793132010,Temp: 30.87 °C  Hum: 65.23%  VOC: 99.61 kΩ
1765296713161810573,Temp: 30.87 °C  Hum: 65.23%  VOC: 99.67 kΩ
1765296714531381595,Temp: 30.86 °C  Hum: 65.24%  VOC: 99.67 kΩ
1765296715900019251,Temp: 30.85 °C  Hum: 65.25%  VOC: 99.91 kΩ
1765296717269066220,Temp: 30.85 °C  Hum: 65.25%  VOC: 99.61 kΩ
1765296718638240040,Temp: 30.84 °C  Hum: 65.27%  VOC: 99.79 kΩ
1765296720007564730,Temp: 30.84 °C  Hum: 65.28%  VOC: 100.15 kΩ
1765296721375880665,Temp: 30.84 °C  Hum: 65.28%  VOC: 99.97 kΩ
1765296722745119115,Temp: 30.84 °C  Hum: 65.28%  VOC: 99.37 kΩ
1765296724114373786,Temp: 30.84 °C  Hum: 65.28%  VOC: 99.73 kΩ
1765296725483535162,Temp: 30.84 °C  Hum: 65.29%  VOC: 100.03 kΩ
1765296726852465539,Temp: 30.83 °C  Hum: 65.28%  VOC: 100.70 kΩ
1765296728221308546,Temp: 30.83 °C  Hum: 65.30%  VOC: 99.49 kΩ
1765296729590453866,Temp: 30.82 °C  Hum: 65.30%  VOC: 100.45 kΩ
1765296730959267892,Temp: 30.82 °C  Hum: 65.31%  VOC: 100.45 kΩ
1765296732328511156,Temp: 30.81 °C  Hum: 65.29%  VOC: 100.45 kΩ
1765296733697247034,Temp: 30.81 °C  Hum: 65.31%  VOC: 100.33 kΩ
1765296735066339262,Temp: 30.81 °C  Hum: 65.33%  VOC: 100.70 kΩ
1765296736435502841,Temp: 30.81 °C  Hum: 65.35%  VOC: 100.82 kΩ
1765296737804803087,Temp: 30.81 °C  Hum: 65.35%  VOC: 101.19 kΩ
1765296739173329262,Temp: 30.81 °C  Hum: 65.33%  VOC: 100.27 kΩ
1765296740542462897,Temp: 30.80 °C  Hum: 65.32%  VOC: 100.82 kΩ
1765296741911387292,Temp: 30.80 °C  Hum: 65.33%  VOC: 100.45 kΩ
1765296743280355280,Temp: 30.80 °C  Hum: 65.33%  VOC: 99.85 kΩ
1765296744650178820,Temp: 30.81 °C  Hum: 65.33%  VOC: 99.61 kΩ
1765296746018599588,Temp: 30.81 °C  Hum: 65.31%  VOC: 100.33 kΩ
1765296747387366372,Temp: 30.81 °C  Hum: 65.30%  VOC: 100.64 kΩ
1765296748756476674,Temp: 30.80 °C  Hum: 65.31%  VOC: 100.45 kΩ
1765296750125598180,Temp: 30.80 °C  Hum: 65.29%  VOC: 99.85 kΩ
1765296751494724241,Temp: 30.80 °C  Hum: 65.31%  VOC: 100.94 kΩ
1765296752864124542,Temp: 30.80 °C  Hum: 65.29%  VOC: 100.33 kΩ
1765296754232792772,Temp: 30.80 °C  Hum: 65.31%  VOC: 100.21 kΩ
1765296755601226947,Temp: 30.80 °C  Hum: 65.29%  VOC: 100.94 kΩ
1765296756970584618,Temp: 30.80 °C  Hum: 65.29%  VOC: 100.70 kΩ
1765296758339492588,Temp: 30.80 °C  Hum: 65.26%  VOC: 100.51 kΩ
1765296759708818815,Temp: 30.80 °C  Hum: 65.25%  VOC: 101.06 kΩ
1765296761081819712,Temp: 30.80 °C  Hum: 65.25%  VOC: 101.06 kΩ
1765296762446822031,Temp: 30.79 °C  Hum: 65.26%  VOC: 101.06 kΩ
1765296763816382201,Temp: 30.79 °C  Hum: 65.25%  VOC: 101.19 kΩ
1765296765184619044,Temp: 30.79 °C  Hum: 65.25%  VOC: 100.27 kΩ
1765296766553886549,Temp: 30.80 °C  Hum: 65.22%  VOC: 100.94 kΩ
1765296767922689167,Temp: 30.80 °C  Hum: 65.23%  VOC: 100.57 kΩ
1765296769292107023,Temp: 30.80 °C  Hum: 65.20%  VOC: 100.76 kΩ
1765296770660823457,Temp: 30.80 °C  Hum: 65.19%  VOC: 100.88 kΩ
1765296772029609908,Temp: 30.80 °C  Hum: 65.19%  VOC: 100.70 kΩ
1765296773398896376,Temp: 30.80 °C  Hum: 65.18%  VOC: 101.06 kΩ
1765296774767919271,Temp: 30.81 °C  Hum: 65.17%  VOC: 100.70 kΩ
1765296776137780829,Temp: 30.81 °C  Hum: 65.17%  VOC: 101.68 kΩ
1765296777506359522,Temp: 30.81 °C  Hum: 65.13%  VOC: 101.25 kΩ
1765296778875185992,Temp: 30.81 °C  Hum: 65.12%  VOC: 101.25 kΩ
1765296780244003110,Temp: 30.81 °C  Hum: 65.11%  VOC: 101.12 kΩ
1765296781612860172,Temp: 30.80 °C  Hum: 65.10%  VOC: 101.12 kΩ
1765296782982244862,Temp: 30.80 °C  Hum: 65.10%  VOC: 101.43 kΩ
1765296784350788981,Temp: 30.79 °C  Hum: 65.11%  VOC: 101.25 kΩ
1765296785720015190,Temp: 30.79 °C  Hum: 65.10%  VOC: 101.50 kΩ
1765296787089194307,Temp: 30.79 °C  Hum: 65.10%  VOC: 100.15 kΩ
1765296788459366215,Temp: 30.79 °C  Hum: 65.10%  VOC: 100.82 kΩ
1765296789828336962,Temp: 30.79 °C  Hum: 65.09%  VOC: 101.31 kΩ
1765296791196060566,Temp: 30.79 °C  Hum: 65.10%  VOC: 101.56 kΩ
1765296792565209016,Temp: 30.79 °C  Hum: 65.10%  VOC: 101.50 kΩ
1765296793934103486,Temp: 30.79 °C  Hum: 65.08%  VOC: 101.56 kΩ
1765296795303426454,Temp: 30.79 °C  Hum: 65.07%  VOC: 101.43 kΩ
1765296796671892629,Temp: 30.79 °C  Hum: 65.07%  VOC: 101.06 kΩ
1765296798041059097,Temp: 30.79 °C  Hum: 65.04%  VOC: 100.82 kΩ
1765296799410059918,Temp: 30.79 °C  Hum: 65.04%  VOC: 101.87 kΩ
1765296800779449312,Temp: 30.79 °C  Hum: 65.04%  VOC: 101.93 kΩ
1765296802148238652,Temp: 30.80 °C  Hum: 65.04%  VOC: 101.81 kΩ
1765296803517281973,Temp: 30.80 °C  Hum: 65.04%  VOC: 101.50 kΩ
1765296804888730154,Temp: 30.80 °C  Hum: 65.02%  VOC: 101.50 kΩ
1765296806254974116,Temp: 30.80 °C  Hum: 65.00%  VOC: 101.06 kΩ
1765296807624303195,Temp: 30.80 °C  Hum: 65.02%  VOC: 101.68 kΩ
1765296808993203349,Temp: 30.80 °C  Hum: 65.00%  VOC: 101.43 kΩ
1765296810362514521,Temp: 30.80 °C  Hum: 65.00%  VOC: 101.56 kΩ
1765296811731596064,Temp: 30.80 °C  Hum: 64.99%  VOC: 101.99 kΩ
1765296813100490200,Temp: 30.79 °C  Hum: 64.97%  VOC: 102.06 kΩ
1765296814469047078,Temp: 30.79 °C  Hum: 64.98%  VOC: 101.81 kΩ
1765296815838299435,Temp: 30.79 °C  Hum: 64.98%  VOC: 101.62 kΩ
1765296817207309090,Temp: 30.79 °C  Hum: 64.98%  VOC: 101.68 kΩ
1765296818576415577,Temp: 30.79 °C  Hum: 64.97%  VOC: 102.24 kΩ
1765296819945960210,Temp: 30.79 °C  Hum: 64.97%  VOC: 101.37 kΩ
1765296821314127368,Temp: 30.79 °C  Hum: 64.96%  VOC: 101.99 kΩ
1765296822683628539,Temp: 30.79 °C  Hum: 64.96%  VOC: 101.74 kΩ
1765296824052712693,Temp: 30.79 °C  Hum: 64.97%  VOC: 101.81 kΩ
1765296825421530903,Temp: 30.79 °C  Hum: 64.96%  VOC: 101.50 kΩ
1765296826790384743,Temp: 30.78 °C  Hum: 64.96%  VOC: 101.93 kΩ
1765296828159695174,Temp: 30.78 °C  Hum: 64.96%  VOC: 101.25 kΩ
1765296829528061368,Temp: 30.78 °C  Hum: 64.95%  VOC: 102.06 kΩ
1765296830897283410,Temp: 30.79 °C  Hum: 64.95%  VOC: 100.82 kΩ
1765296832266496656,Temp: 30.79 °C  Hum: 64.95%  VOC: 101.99 kΩ
1765296833635553811,Temp: 30.79 °C  Hum: 64.94%  VOC: 101.62 kΩ
1765296835004547724,Temp: 30.79 °C  Hum: 64.94%  VOC: 101.62 kΩ
1765296836374094432,Temp: 30.79 °C  Hum: 64.94%  VOC: 102.37 kΩ
1765296837742497755,Temp: 30.79 °C  Hum: 64.94%  VOC: 102.18 kΩ
1765296839111593335,Temp: 30.79 °C  Hum: 64.94%  VOC: 101.87 kΩ
1765296840480488730,Temp: 30.79 °C  Hum: 64.94%  VOC: 101.68 kΩ
1765296841849773384,Temp: 30.79 °C  Hum: 64.96%  VOC: 101.31 kΩ
1765296843218700390,Temp: 30.79 °C  Hum: 64.93%  VOC: 101.19 kΩ
1765296844588162024,Temp: 30.79 °C  Hum: 64.95%  VOC: 101.19 kΩ
1765296845956505792,Temp: 30.79 °C  Hum: 64.96%  VOC: 101.87 kΩ
1765296847325776001,Temp: 30.79 °C  Hum: 64.98%  VOC: 101.62 kΩ
1765296848694698100,Temp: 30.79 °C  Hum: 64.96%  VOC: 101.62 kΩ
1765296850063793680,Temp: 30.79 °C  Hum: 64.96%  VOC: 101.43 kΩ
1765296851432693168,Temp: 30.80 °C  Hum: 64.96%  VOC: 101.68 kΩ
1765296852801883303,Temp: 30.80 °C  Hum: 64.96%  VOC: 100.88 kΩ
1765296854170514144,Temp: 30.80 °C  Hum: 64.95%  VOC: 100.82 kΩ
1765296855540387906,Temp: 30.80 °C  Hum: 64.93%  VOC: 100.88 kΩ
1765296856908857803,Temp: 30.81 °C  Hum: 64.93%  VOC: 100.88 kΩ
1765296858277771957,Temp: 30.81 °C  Hum: 64.94%  VOC: 101.00 kΩ
1765296859646930407,Temp: 30.81 °C  Hum: 64.93%  VOC: 100.45 kΩ
1765296861015839080,Temp: 30.82 °C  Hum: 64.94%  VOC: 100.76 kΩ
1765296862384576180,Temp: 30.82 °C  Hum: 64.92%  VOC: 100.39 kΩ
1765296863753565427,Temp: 30.82 °C  Hum: 64.92%  VOC: 100.57 kΩ
1765296865122844506,Temp: 30.82 °C  Hum: 64.91%  VOC: 100.09 kΩ
1765296866491900920,Temp: 30.83 °C  Hum: 64.90%  VOC: 99.49 kΩ
1765296867860844685,Temp: 30.83 °C  Hum: 64.90%  VOC: 99.85 kΩ
1765296869230261967,Temp: 30.83 °C  Hum: 64.87%  VOC: 99.85 kΩ
1765296870598702309,Temp: 30.83 °C  Hum: 64.91%  VOC: 99.73 kΩ
1765296871967930166,Temp: 30.83 °C  Hum: 64.91%  VOC: 99.97 kΩ
1765296873336838506,Temp: 30.83 °C  Hum: 64.90%  VOC: 99.43 kΩ
1765296874705856660,Temp: 30.84 °C  Hum: 64.89%  VOC: 100.09 kΩ
1765296876075049536,Temp: 30.84 °C  Hum: 64.88%  VOC: 99.97 kΩ
1765296877444089633,Temp: 30.84 °C  Hum: 64.88%  VOC: 100.03 kΩ
1765296878812976007,Temp: 30.84 °C  Hum: 64.87%  VOC: 99.49 kΩ
1765296880181970159,Temp: 30.85 °C  Hum: 64.85%  VOC: 99.25 kΩ
