time,pm_message
1765267414804196373,PM1.0: 41  PM2.5: 130  PM10: 186
1765267415851596730,PM1.0: 40  PM2.5: 125  PM10: 177
1765267416898677772,PM1.0: 40  PM2.5: 120  PM10: 169
1765267417946175424,PM1.0: 39  PM2.5: 116  PM10: 161
1765267418993617503,PM1.0: 38  PM2.5: 112  PM10: 154
1765267420040834896,PM1.0: 38  PM2.5: 109  PM10: 149
1765267421087947346,PM1.0: 38  PM2.5: 105  PM10: 143
1765267422135294906,PM1.0: 37  PM2.5: 101  PM10: 137
1765267423182296912,PM1.0: 35  PM2.5: 95  PM10: 128
1765267424230016878,PM1.0: 35  PM2.5: 92  PM10: 124
1765267425276862384,PM1.0: 36  PM2.5: 91  PM10: 121
1765267426324438962,PM1.0: 36  PM2.5: 88  PM10: 117
1765267427371776337,PM1.0: 35  PM2.5: 86  PM10: 113
1765267428420090542,PM1.0: 34  PM2.5: 83  PM10: 109
1765267429465601238,PM1.0: 34  PM2.5: 81  PM10: 105
1765267430513878758,PM1.0: 34  PM2.5: 80  PM10: 102
1765267431560595561,PM1.0: 35  PM2.5: 79  PM10: 100
1765267432608678341,PM1.0: 35  PM2.5: 78  PM10: 97
1765267433654951053,PM1.0: 34  PM2.5: 76  PM10: 95
1765267434702066151,PM1.0: 34  PM2.5: 75  PM10: 92
1765267435749497433,PM1.0: 34  PM2.5: 74  PM10: 90
1765267436797024992,PM1.0: 34  PM2.5: 73  PM10: 89
1765267437844422645,PM1.0: 33  PM2.5: 71  PM10: 86
1765267438891761723,PM1.0: 33  PM2.5: 70  PM10: 84
1765267439938540452,PM1.0: 33  PM2.5: 69  PM10: 83
1765267440985926864,PM1.0: 34  PM2.5: 69  PM10: 82
1765267442032928740,PM1.0: 34  PM2.5: 68  PM10: 81
1765267443080387170,PM1.0: 34  PM2.5: 67  PM10: 80
1765267444127553638,PM1.0: 34  PM2.5: 66  PM10: 79
1765267445174720625,PM1.0: 34  PM2.5: 66  PM10: 78
1765267446222077000,PM1.0: 32  PM2.5: 63  PM10: 77
1765267447269836966,PM1.0: 32  PM2.5: 63  PM10: 76
1765267448316768083,PM1.0: 32  PM2.5: 61  PM10: 75
1765267449363878273,PM1.0: 32  PM2.5: 61  PM10: 75
1765267450412530662,PM1.0: 32  PM2.5: 60  PM10: 74
1765267451458368635,PM1.0: 32  PM2.5: 59  PM10: 74
1765267452506659673,PM1.0: 32  PM2.5: 59  PM10: 74
1765267453553466476,PM1.0: 32  PM2.5: 59  PM10: 73
1765267454601031387,PM1.0: 32  PM2.5: 58  PM10: 73
1765267455648184930,PM1.0: 32  PM2.5: 57  PM10: 72
1765267456695909285,PM1.0: 32  PM2.5: 57  PM10: 72
1765267457743462992,PM1.0: 32  PM2.5: 57  PM10: 72
1765267458790734719,PM1.0: 33  PM2.5: 58  PM10: 73
1765267459838175224,PM1.0: 33  PM2.5: 58  PM10: 73
1765267460885490006,PM1.0: 33  PM2.5: 58  PM10: 73
1765267461932841844,PM1.0: 33  PM2.5: 58  PM10: 72
1765267462980246182,PM1.0: 33  PM2.5: 58  PM10: 72
1765267464027982240,PM1.0: 33  PM2.5: 58  PM10: 72
1765267465075080523,PM1.0: 32  PM2.5: 57  PM10: 71
1765267466122325954,PM1.0: 32  PM2.5: 57  PM10: 70
1765267467171509712,PM1.0: 32  PM2.5: 56  PM10: 70
1765267468217267944,PM1.0: 32  PM2.5: 56  PM10: 70
1765267469264740541,PM1.0: 32  PM2.5: 56  PM10: 70
1765267470311790509,PM1.0: 33  PM2.5: 57  PM10: 70
1765267471359039829,PM1.0: 33  PM2.5: 57  PM10: 70
1765267472406318908,PM1.0: 33  PM2.5: 56  PM10: 70
1765267473453723357,PM1.0: 32  PM2.5: 55  PM10: 69
1765267474503362668,PM1.0: 32  PM2.5: 55  PM10: 69
1765267475548416125,PM1.0: 32  PM2.5: 55  PM10: 69
1765267476595710593,PM1.0: 33  PM2.5: 56  PM10: 70
1765267477642773450,PM1.0: 33  PM2.5: 56  PM10: 70
1765267478690615360,PM1.0: 33  PM2.5: 56  PM10: 70
1765267479737080331,PM1.0: 33  PM2.5: 57  PM10: 70
1765267480786162515,PM1.0: 33  PM2.5: 57  PM10: 70
1765267481832227209,PM1.0: 33  PM2.5: 57  PM10: 70
1765267482879485269,PM1.0: 33  PM2.5: 57  PM10: 70
1765267483927551679,PM1.0: 33  PM2.5: 57  PM10: 70
1765267484974087519,PM1.0: 33  PM2.5: 57  PM10: 70
1765267486021262580,PM1.0: 33  PM2.5: 57  PM10: 70
1765267487069166583,PM1.0: 33  PM2.5: 57  PM10: 70
1765267488116123700,PM1.0: 32  PM2.5: 56  PM10: 69
1765267489163590648,PM1.0: 32  PM2.5: 56  PM10: 69
1765267490212774091,PM1.0: 32  PM2.5: 56  PM10: 69
1765267491258256991,PM1.0: 33  PM2.5: 57  PM10: 70
1765267492305502570,PM1.0: 33  PM2.5: 57  PM10: 70
1765267493352781000,PM1.0: 33  PM2.5: 57  PM10: 70
1765267494400018190,PM1.0: 33  PM2.5: 57  PM10: 70
1765267495448115470,PM1.0: 33  PM2.5: 57  PM10: 70
1765267496495309698,PM1.0: 33  PM2.5: 57  PM10: 70
1765267497543196997,PM1.0: 32  PM2.5: 56  PM10: 69
1765267498590669779,PM1.0: 32  PM2.5: 56  PM10: 69
1765267499636689176,PM1.0: 32  PM2.5: 56  PM10: 69
1765267500684022218,PM1.0: 33  PM2.5: 57  PM10: 69
1765267501731751573,PM1.0: 33  PM2.5: 56  PM10: 69
1765267502779013819,PM1.0: 33  PM2.5: 56  PM10: 69
1765267503826287953,PM1.0: 32  PM2.5: 55  PM10: 68
1765267504874115919,PM1.0: 32  PM2.5: 55  PM10: 67
1765267505921313517,PM1.0: 32  PM2.5: 54  PM10: 67
1765267506968731262,PM1.0: 33  PM2.5: 55  PM10: 68
1765267508015893008,PM1.0: 33  PM2.5: 54  PM10: 67
1765267509063432141,PM1.0: 32  PM2.5: 53  PM10: 66
1765267510110133704,PM1.0: 32  PM2.5: 53  PM10: 66
1765267511157847133,PM1.0: 32  PM2.5: 53  PM10: 66
1765267512205623303,PM1.0: 32  PM2.5: 53  PM10: 66
1765267513252669012,PM1.0: 32  PM2.5: 52  PM10: 66
1765267514301042717,PM1.0: 32  PM2.5: 52  PM10: 66
1765267515351995172,PM1.0: 32  PM2.5: 52  PM10: 66
1765267516395140339,PM1.0: 32  PM2.5: 52  PM10: 66
1765267517443237008,PM1.0: 32  PM2.5: 52  PM10: 66
1765267518490444068,PM1.0: 33  PM2.5: 53  PM10: 67
1765267519537234001,PM1.0: 33  PM2.5: 54  PM10: 67
1765267520585388077,PM1.0: 33  PM2.5: 54  PM10: 67
1765267521632264638,PM1.0: 33  PM2.5: 54  PM10: 67
1765267522679664106,PM1.0: 33  PM2.5: 54  PM10: 67
1765267523727745997,PM1.0: 33  PM2.5: 54  PM10: 67
1765267524774999353,PM1.0: 32  PM2.5: 53  PM10: 66
1765267525823410299,PM1.0: 32  PM2.5: 53  PM10: 66
1765267526870160990,PM1.0: 32  PM2.5: 54  PM10: 66
1765267527917259311,PM1.0: 33  PM2.5: 55  PM10: 67
1765267528964611926,PM1.0: 33  PM2.5: 55  PM10: 67
1765267530012261467,PM1.0: 32  PM2.5: 54  PM10: 66
1765267531060542672,PM1.0: 32  PM2.5: 54  PM10: 66
1765267532107501678,PM1.0: 32  PM2.5: 54  PM10: 66
1765267533154372499,PM1.0: 33  PM2.5: 55  PM10: 67
1765267534202164409,PM1.0: 33  PM2.5: 55  PM10: 67
1765267535249511377,PM1.0: 33  PM2.5: 55  PM10: 67
1765267536296576790,PM1.0: 32  PM2.5: 54  PM10: 66
1765267537343941128,PM1.0: 32  PM2.5: 54  PM10: 66
1765267538391614409,PM1.0: 32  PM2.5: 55  PM10: 66
1765267539439196024,PM1.0: 32  PM2.5: 55  PM10: 67
1765267540488000468,PM1.0: 32  PM2.5: 55  PM10: 67
1765267541534218143,PM1.0: 32  PM2.5: 55  PM10: 67
1765267542581522147,PM1.0: 33  PM2.5: 56  PM10: 68
1765267543629876926,PM1.0: 33  PM2.5: 56  PM10: 68
1765267544676613970,PM1.0: 33  PM2.5: 56  PM10: 68
1765267545723906586,PM1.0: 33  PM2.5: 56  PM10: 68
1765267546771053462,PM1.0: 33  PM2.5: 56  PM10: 68
1765267547818910372,PM1.0: 33  PM2.5: 56  PM10: 68
1765267548866069247,PM1.0: 32  PM2.5: 55  PM10: 67
1765267549913457955,PM1.0: 32  PM2.5: 55  PM10: 67
1765267550961113033,PM1.0: 33  PM2.5: 56  PM10: 68
1765267552009258072,PM1.0: 33  PM2.5: 56  PM10: 68
1765267553055726783,PM1.0: 33  PM2.5: 56  PM10: 68
1765267554103007343,PM1.0: 33  PM2.5: 57  PM10: 68
1765267555150810643,PM1.0: 33  PM2.5: 57  PM10: 68
1765267556198110666,PM1.0: 33  PM2.5: 57  PM10: 68
1765267557247857996,PM1.0: 32  PM2.5: 56  PM10: 67
1765267558293243600,PM1.0: 33  PM2.5: 56  PM10: 68
1765267559340483586,PM1.0: 33  PM2.5: 56  PM10: 68
1765267560388041016,PM1.0: 33  PM2.5: 57  PM10: 68
1765267561435152373,PM1.0: 33  PM2.5: 57  PM10: 68
1765267562482878524,PM1.0: 33  PM2.5: 57  PM10: 68
1765267563530147400,PM1.0: 33  PM2.5: 57  PM10: 69
1765267564577458515,PM1.0: 33  PM2.5: 57  PM10: 69
1765267565625277629,PM1.0: 33  PM2.5: 57  PM10: 69
1765267566672461949,PM1.0: 33  PM2.5: 57  PM10: 69
1765267567720413489,PM1.0: 33  PM2.5: 57  PM10: 69
1765267568767490902,PM1.0: 33  PM2.5: 57  PM10: 69
1765267569815052424,PM1.0: 32  PM2.5: 57  PM10: 68
1765267570862281373,PM1.0: 32  PM2.5: 57  PM10: 68
1765267571910171524,PM1.0: 32  PM2.5: 57  PM10: 68
1765267572957204345,PM1.0: 32  PM2.5: 57  PM10: 68
1765267574004735330,PM1.0: 32  PM2.5: 56  PM10: 67
1765267575051738595,PM1.0: 34  PM2.5: 57  PM10: 68
1765267576099055674,PM1.0: 34  PM2.5: 57  PM10: 68
1765267577146752529,PM1.0: 34  PM2.5: 57  PM10: 68
